F7  BUSINESS LENDING RATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Lending rates; Business finance; Outstanding; Small business; Total,"Lending rates; Business finance; Outstanding; Small business; of which, Residentially secured",Lending rates; Business finance; Outstanding; Small business; Fixed-rate,Lending rates; Business finance; Outstanding; Small business; Variable-rate,Lending rates; Business finance; Outstanding; Medium business; Total,Lending rates; Business finance; Outstanding; Medium business; Fixed-rate,Lending rates; Business finance; Outstanding; Medium business; Variable-rate,Lending rates; Business finance; Outstanding; Large business; Total,Lending rates; Business finance; Outstanding; Large business; Fixed-rate,Lending rates; Business finance; Outstanding; Large business; Variable-rate,Lending rates; Business finance; New loans funded in the month; Small business; Total,"Lending rates; Business finance; New loans funded in the month; Small business; of which, Residentially secured",Lending rates; Business finance; New loans funded in the month; Small business; Fixed-rate,Lending rates; Business finance; New loans funded in the month; Small business; Variable-rate,Lending rates; Business finance; New loans funded in the month; Medium business; Total,Lending rates; Business finance; New loans funded in the month; Medium business; Fixed-rate,Lending rates; Business finance; New loans funded in the month; Medium business; Variable-rate,Lending rates; Business finance; New loans funded in the month; Large business; Total,Lending rates; Business finance; New loans funded in the month; Large business; Fixed-rate,Lending rates; Business finance; New loans funded in the month; Large business; Variable-rate,,,,,,,,
31/08/2019,5.41,4.88,5.50,5.36,3.92,4.23,3.80,2.71,3.31,2.62,4.56,4.42,5.05,4.22,2.74,2.82,2.68,2.34,2.61,2.29,,,,,,,,
30/09/2019,5.36,4.86,5.48,5.29,3.83,4.21,3.70,2.66,3.39,2.57,4.51,4.39,5.13,4.11,2.60,2.63,2.59,2.37,2.28,2.39,,,,,,,,
31/10/2019,5.28,4.73,5.44,5.19,3.76,4.18,3.61,2.58,3.34,2.48,4.38,4.19,4.96,4.00,2.60,2.65,2.57,2.23,2.30,2.22,,,,,,,,
30/11/2019,5.26,4.69,5.40,5.18,3.67,4.08,3.53,2.51,3.16,2.43,4.43,4.21,4.88,4.11,2.60,2.55,2.63,2.22,1.97,2.26,,,,,,,,
31/12/2019,5.24,4.68,5.39,5.16,3.64,4.04,3.50,2.49,3.10,2.41,4.16,4.16,4.62,3.85,2.59,2.52,2.64,2.17,2.00,2.19,,,,,,,,
31/01/2020,5.23,4.67,5.37,5.16,3.62,4.04,3.48,2.49,3.04,2.41,4.22,4.11,4.84,3.80,2.48,2.42,2.52,2.10,1.96,2.12,,,,,,,,
29/02/2020,5.21,4.65,5.33,5.15,3.60,4.02,3.46,2.47,3.02,2.39,4.16,3.90,4.64,3.77,2.57,2.51,2.60,2.10,1.91,2.13,,,,,,,,
31/03/2020,5.01,4.39,5.28,4.85,3.40,3.91,3.24,2.23,2.88,2.14,4.00,3.75,4.48,3.63,2.32,2.21,2.39,1.84,1.72,1.86,,,,,,,,
30/04/2020,4.82,4.22,5.26,4.57,3.17,3.84,2.95,1.97,2.79,1.88,4.43,4.01,4.55,4.36,2.21,2.13,2.26,1.58,1.23,1.62,,,,,,,,
31/05/2020,4.75,4.24,5.10,4.55,3.07,3.79,2.85,1.86,2.86,1.76,4.01,3.58,4.32,3.79,2.17,2.34,2.08,1.48,1.39,1.49,,,,,,,,
30/06/2020,4.70,4.21,5.00,4.54,3.00,3.73,2.77,1.76,2.79,1.65,3.94,3.44,4.23,3.57,2.22,2.26,2.19,1.57,1.14,1.62,,,,,,,,
31/07/2020,4.67,4.18,5.05,4.46,2.96,3.75,2.73,1.72,2.81,1.62,3.78,3.37,4.30,3.32,1.95,2.00,1.92,1.54,0.83,1.61,,,,,,,,
31/08/2020,4.64,4.15,4.99,4.44,2.95,3.71,2.72,1.72,2.85,1.61,3.75,3.48,4.11,3.46,1.92,2.05,1.86,1.47,0.86,1.53,,,,,,,,
30/09/2020,4.62,4.13,4.95,4.43,2.92,3.68,2.69,1.70,2.82,1.60,3.75,3.46,4.12,3.44,1.92,2.00,1.88,1.46,1.01,1.52,,,,,,,,
31/10/2020,4.57,4.11,4.83,4.41,2.89,3.67,2.65,1.69,2.79,1.59,3.65,3.47,3.87,3.47,2.00,2.22,1.90,1.39,0.83,1.47,,,,,,,,
30/11/2020,4.58,4.08,4.84,4.42,2.87,3.64,2.64,1.66,2.72,1.56,3.72,3.33,4.10,3.34,1.97,2.14,1.89,1.41,1.07,1.45,,,,,,,,
31/12/2020,4.53,4.05,4.76,4.39,2.82,3.61,2.59,1.63,2.64,1.54,3.55,3.27,3.87,3.25,1.90,2.16,1.78,1.48,1.15,1.50,,,,,,,,
31/01/2021,4.52,4.03,4.73,4.39,2.79,3.59,2.56,1.62,2.58,1.52,3.66,3.19,3.99,3.38,2.10,1.96,2.16,1.33,0.43,1.47,,,,,,,,
28/02/2021,4.46,4.01,4.61,4.37,2.76,3.55,2.54,1.60,2.54,1.51,3.43,3.15,3.77,3.11,2.30,2.50,2.22,1.45,1.01,1.49,,,,,,,,
31/03/2021,4.42,3.98,4.53,4.35,2.74,3.50,2.53,1.60,2.53,1.51,3.47,3.15,3.63,3.30,2.35,2.72,2.22,1.43,1.01,1.48,,,,,,,,
30/04/2021,4.39,3.95,4.46,4.35,2.74,3.45,2.53,1.59,2.50,1.51,3.44,3.07,3.63,3.24,2.40,2.92,2.27,1.39,0.74,1.46,,,,,,,,
31/05/2021,4.38,3.92,4.46,4.34,2.72,3.43,2.52,1.58,2.45,1.50,3.41,3.07,3.72,3.09,2.36,2.90,2.23,1.42,1.03,1.46,,,,,,,,
30/06/2021,4.34,3.89,4.38,4.31,2.70,3.34,2.52,1.56,2.44,1.47,3.43,2.94,3.65,3.21,2.28,2.51,2.20,1.36,1.26,1.37,,,,,,,,
31/07/2021,4.29,3.86,4.28,4.30,2.67,3.30,2.49,1.54,2.38,1.46,3.38,3.05,3.58,3.22,2.21,2.74,2.10,1.40,1.04,1.43,,,,,,,,
31/08/2021,4.26,3.83,4.23,4.27,2.65,3.28,2.47,1.53,2.37,1.45,3.39,2.99,3.60,3.23,2.26,2.67,2.17,1.34,1.10,1.35,,,,,,,,
30/09/2021,4.24,3.81,4.19,4.28,2.63,3.26,2.45,1.51,2.37,1.43,3.40,2.96,3.59,3.24,2.24,2.57,2.15,1.37,0.91,1.41,,,,,,,,
31/10/2021,4.20,3.78,4.14,4.25,2.62,3.25,2.45,1.50,2.38,1.42,3.30,2.91,3.54,3.11,2.41,3.06,2.28,1.30,0.67,1.37,,,,,,,,
30/11/2021,4.19,3.75,4.12,4.24,2.60,3.21,2.44,1.50,2.26,1.43,3.41,2.98,3.76,3.12,2.32,2.78,2.20,1.33,0.55,1.43,,,,,,,,
31/12/2021,4.16,3.72,4.08,4.22,2.60,3.22,2.43,1.50,2.24,1.43,3.45,2.98,3.88,3.14,2.37,2.84,2.27,1.32,0.83,1.38,,,,,,,,
31/01/2022,4.16,3.73,4.06,4.23,2.59,3.21,2.43,1.51,2.24,1.45,3.46,3.07,4.05,3.09,2.24,3.02,2.09,1.34,0.72,1.40,,,,,,,,
28/02/2022,4.14,3.71,4.01,4.22,2.59,3.21,2.43,1.51,2.20,1.44,3.55,3.04,4.24,3.09,2.37,3.31,2.21,1.29,0.68,1.37,,,,,,,,
31/03/2022,4.12,3.67,4.01,4.19,2.60,3.20,2.44,1.55,2.16,1.49,3.70,3.09,4.53,3.12,2.42,3.24,2.24,1.28,0.71,1.36,,,,,,,,
30/04/2022,4.11,3.66,4.02,4.17,2.65,3.24,2.50,1.63,2.26,1.58,3.82,3.06,4.94,3.14,2.53,3.64,2.33,1.37,0.60,1.53,,,,,,,,
31/05/2022,4.24,3.81,4.07,4.36,2.88,3.37,2.76,1.88,2.41,1.84,4.18,3.32,5.47,3.47,2.99,4.38,2.72,1.73,0.96,1.86,,,,,,,,
30/06/2022,4.56,4.19,4.15,4.83,3.36,3.58,3.31,2.49,2.69,2.47,4.62,3.79,6.02,3.85,3.57,4.43,3.40,2.39,1.21,2.63,,,,,,,,
31/07/2022,4.90,4.62,4.21,5.32,3.80,3.76,3.81,2.95,3.01,2.94,4.95,4.29,6.43,4.34,4.04,4.93,3.91,2.92,1.76,3.08,,,,,,,,
31/08/2022,5.20,5.04,4.22,5.80,4.19,3.91,4.25,3.31,3.27,3.31,5.40,4.73,6.27,4.96,4.45,5.09,4.35,3.31,2.27,3.43,,,,,,,,
30/09/2022,5.52,5.43,4.29,6.25,4.63,4.09,4.75,3.85,3.51,3.88,5.71,5.18,6.41,5.33,4.92,5.10,4.89,3.74,2.59,4.03,,,,,,,,
31/10/2022,5.71,5.62,4.37,6.49,4.90,4.23,5.05,4.13,3.74,4.16,6.01,5.39,6.83,5.59,5.00,5.13,4.97,3.95,2.88,4.23,,,,,,,,
30/11/2022,5.84,5.80,4.35,6.71,5.10,4.35,5.26,4.31,3.80,4.35,6.15,5.60,6.87,5.80,5.24,5.42,5.21,4.21,3.15,4.43,,,,,,,,
31/12/2022,6.00,5.94,4.43,6.90,5.25,4.47,5.42,4.49,4.03,4.53,6.25,5.71,6.93,5.94,5.24,5.36,5.23,4.38,3.10,4.59,,,,,,,,
31/01/2023,6.04,5.97,4.49,6.90,5.31,4.56,5.47,4.59,4.14,4.63,6.44,5.72,7.18,6.06,5.54,5.80,5.47,4.41,3.56,4.59,,,,,,,,
28/02/2023,6.20,6.14,4.57,7.09,5.48,4.68,5.65,4.74,4.32,4.77,6.55,5.83,7.30,6.15,5.77,5.87,5.76,4.66,3.55,4.84,,,,,,,,
31/03/2023,6.37,6.32,4.68,7.29,5.68,4.82,5.86,4.97,4.42,5.02,6.77,6.19,7.36,6.44,5.96,6.13,5.92,4.75,3.76,5.03,,,,,,,,
30/04/2023,6.39,6.32,4.73,7.23,5.57,4.83,5.71,5.05,4.59,5.09,6.63,6.16,7.05,6.41,5.77,5.53,5.82,4.93,3.80,5.22,,,,,,,,
31/05/2023,6.57,6.54,4.91,7.43,5.73,4.92,5.87,5.20,4.68,5.24,6.83,6.39,7.20,6.60,6.11,5.83,6.15,5.14,4.06,5.49,,,,,,,,
30/06/2023,6.80,6.76,5.26,7.62,5.95,5.10,6.10,5.47,4.86,5.52,7.11,6.67,7.39,6.89,6.17,6.00,6.21,5.41,4.14,5.64,,,,,,,,
31/07/2023,6.83,6.76,5.34,7.62,6.04,5.19,6.19,5.59,4.98,5.64,7.19,6.72,7.54,6.98,6.19,5.74,6.26,5.41,4.09,5.73,,,,,,,,
31/08/2023,6.86,6.76,5.44,7.59,6.09,5.25,6.24,5.62,5.06,5.67,7.21,6.72,7.84,6.84,6.38,5.98,6.45,5.44,4.24,5.73,,,,,,,,
30/09/2023,6.89,6.77,5.55,7.57,6.08,5.30,6.22,5.59,5.09,5.63,7.14,6.68,7.66,6.81,6.19,5.38,6.30,5.38,4.15,5.66,,,,,,,,
31/10/2023,6.92,6.78,5.71,7.55,6.09,5.41,6.22,5.61,5.16,5.64,7.19,6.69,7.69,6.89,6.24,6.24,6.24,5.34,4.31,5.63,,,,,,,,
30/11/2023,7.09,7.00,5.83,7.74,6.20,5.46,6.33,5.71,5.31,5.74,7.34,6.88,7.84,7.05,6.34,6.17,6.37,5.60,4.57,5.85,,,,,,,,
31/12/2023,7.13,7.02,5.93,7.74,6.26,5.54,6.39,5.78,5.36,5.81,7.16,6.90,7.64,6.94,6.34,6.10,6.38,5.52,4.23,5.81,,,,,,,,
31/01/2024,7.16,7.03,6.01,7.73,6.28,5.58,6.41,5.81,5.45,5.84,7.26,6.87,7.78,7.00,6.26,5.48,6.37,5.64,4.54,5.89,,,,,,,,
29/02/2024,7.19,7.05,6.11,7.72,6.29,5.66,6.40,5.82,5.49,5.84,7.43,6.92,7.72,7.26,6.29,6.02,6.34,5.78,4.93,5.92,,,,,,,,
31/03/2024,7.22,7.06,6.22,7.70,6.29,5.78,6.38,5.80,5.43,5.83,7.37,6.91,7.66,7.19,6.14,5.94,6.17,5.60,4.36,5.89,,,,,,,,
30/04/2024,7.28,7.07,6.44,7.69,6.26,5.79,6.34,5.82,5.52,5.85,7.47,6.85,7.88,7.23,6.32,6.10,6.35,5.68,4.52,5.87,,,,,,,,
31/05/2024,7.32,7.08,6.55,7.69,6.26,5.81,6.33,5.82,5.57,5.84,7.56,6.86,8.10,7.19,6.30,6.05,6.33,5.55,4.43,5.87,,,,,,,,
30/06/2024,7.33,7.08,6.63,7.65,6.26,5.88,6.32,5.83,5.55,5.85,7.28,6.79,7.90,6.90,6.29,6.29,6.29,5.52,4.35,5.82,,,,,,,,
31/07/2024,7.39,7.11,6.80,7.65,6.27,5.94,6.33,5.87,5.66,5.89,7.31,6.88,7.93,7.01,6.27,6.18,6.28,5.45,4.45,5.87,,,,,,,,
31/08/2024,7.41,7.11,6.88,7.64,6.27,6.02,6.31,5.83,5.61,5.85,7.37,6.90,7.85,7.12,6.26,5.88,6.31,5.52,4.56,5.82,,,,,,,,
30/09/2024,7.42,7.11,6.94,7.63,6.27,6.06,6.31,5.81,5.59,5.83,7.24,6.92,7.64,7.03,6.21,6.11,6.22,5.57,4.39,5.85,,,,,,,,
31/10/2024,7.41,7.11,6.96,7.61,6.26,6.08,6.29,5.82,5.56,5.84,7.19,6.90,7.33,7.12,6.21,6.07,6.23,5.43,4.17,5.86,,,,,,,,
30/11/2024,7.42,7.11,7.02,7.58,6.26,6.11,6.29,5.81,5.57,5.83,7.22,6.82,7.70,7.02,6.25,6.20,6.25,5.50,4.43,5.77,,,,,,,,
31/12/2024,7.43,7.11,7.08,7.57,6.26,6.15,6.28,5.81,5.56,5.83,7.27,6.88,7.59,7.14,6.04,5.11,6.16,5.58,4.38,5.85,,,,,,,,
31/01/2025,7.44,7.11,7.12,7.56,6.24,6.16,6.25,5.79,5.53,5.81,7.22,6.86,7.57,7.06,6.22,5.90,6.26,5.38,4.30,5.72,,,,,,,,
28/02/2025,7.33,6.95,7.12,7.42,6.15,6.15,6.15,5.69,5.49,5.71,7.10,6.66,7.35,6.97,5.90,5.56,5.95,5.27,4.27,5.58,,,,,,,,
31/03/2025,7.25,6.85,7.16,7.29,6.04,6.13,6.03,5.59,5.46,5.60,6.89,6.59,6.99,6.82,5.89,5.88,5.89,5.16,4.02,5.50,,,,,,,,
30/04/2025,7.26,6.84,7.23,7.27,5.99,6.16,5.96,5.52,5.43,5.53,6.87,6.62,6.98,6.82,5.84,5.87,5.84,5.14,3.99,5.53,,,,,,,,
31/05/2025,7.17,6.69,7.25,7.13,5.84,6.06,5.81,5.37,5.33,5.38,6.83,6.44,7.04,6.73,5.66,5.79,5.65,4.84,3.93,5.22,,,,,,,,
30/06/2025,7.07,6.57,7.27,6.99,5.71,6.02,5.67,5.23,5.37,5.22,6.60,6.34,6.87,6.45,5.46,5.63,5.44,4.83,3.76,5.17,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
